area_code,area_desc,road_type_code,road_type_desc,road_section_code,road_section_desc,accident_type_code,accident_type_desc,vehicle_type_code,vehicle_type_desc,month_code,month_desc,year,observations
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,0,Mini cars,4,April,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,0,Mini cars,5,May,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,0,Mini cars,6,June,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,0,Mini cars,10,October,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,0,Mini cars,11,November,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,0,Mini cars,12,December,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,1,January,2024,336
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,2,February,2024,333
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,3,March,2024,342
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,4,April,2024,402
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,5,May,2024,375
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,6,June,2024,342
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,7,July,2024,416
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,8,August,2024,243
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,9,September,2024,375
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,10,October,2024,436
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,11,November,2024,364
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,1,Motor cars,12,December,2024,331
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,1,January,2024,6
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,2,February,2024,8
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,3,March,2024,6
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,4,April,2024,8
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,5,May,2024,6
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,6,June,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,7,July,2024,5
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,8,August,2024,3
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,9,September,2024,6
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,10,October,2024,11
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,11,November,2024,8
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,2,Bus or trolley-bus,12,December,2024,5
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,1,January,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,2,February,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,3,March,2024,3
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,5,May,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,7,July,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,9,September,2024,1
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,10,October,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,11,November,2024,2
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,3,Tram,12,December,2024,3
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,1,January,2024,15
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,2,February,2024,12
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,3,March,2024,17
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,4,April,2024,20
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,5,May,2024,15
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,6,June,2024,28
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,7,July,2024,18
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,8,August,2024,18
ITC1,Piemonte,1,Urban road,1,Crossoroad,1,Accidents between vehicles,4,Trucks and motor units,9,September,2024,18
